"","join_var","booking_charge_level","booking_charge_code","booking_charge"
"312","F_PC_30600A","F","PC","30600A"
"313","F_PC_207A","F","PC","207A"
"314","M_HS_11359B","M","HS","11359B"
"315","F_PC_266HA","F","PC","266HA"
"316","M_PC_182A1","M","PC","182A1"
"317","M_PC_368B1","M","PC","368B1"
"318","F_PC_45736","F","PC","45736"
"319","F_HS_11352B","F","HS","11352B"
"320","M_PC_415","M","PC","415"
"321","M_PC_647H","M","PC","647H"
"322","M_PC_1485A","M","PC","1485A"
"323","F_PC_475A","F","PC","475A"
"324","F_VC_4463A","F","VC","4463A"
"325","M_PC_1485B","M","PC","1485B"
"326","F_HS_113665A","F","HS","113665A"
"327","F_PC_487D1","F","PC","487D1"
"328","F_BP_70273","F","BP","70273"
"329","F_PC_22410","F","PC","22410"
"330","M_HS_11364","M","HS","11364"
"331","F_PC_2445B","F","PC","2445B"
"332","M_PC_273AB","M","PC","273AB"
"333","M_PC_1484A1","M","PC","1484A1"
"334","M_PC_6025B","M","PC","6025B"
"335","M_VC_44625","M","VC","44625"
"336","M_PC_273A","M","PC","273A"
"337","M_HS_11358C","M","HS","11358C"
"338","F_VC_231091","F","VC","231091"
"339","M_PC_2463A","M","PC","2463A"
"340","M_PC_14822","M","PC","14822"
"341","M_PC_463C","M","PC","463C"
"342","F_PC_29800A1","F","PC","29800A1"
"343","F_PC_471","F","PC","471"
"344","F_PC_18622D","F","PC","18622D"
"345","F_HS_11352A","F","HS","11352A"
"346","I_PC_484A","I","PC","484A"
"347","F_PC_529A3","F","PC","529A3"
"348","M_BP_224352A","M","BP","224352A"
"349","M_PC_273D","M","PC","273D"
"350","M_PC_22610A","M","PC","22610A"
"351","F_PC_25850A","F","PC","25850A"
"352","F_PC_18710A","F","PC","18710A"
"353","M_PC_21310","M","PC","21310"
"354","M_VC_23247A","M","VC","23247A"
"355","F_PC_503","F","PC","503"
"356","M_PC_21510A","M","PC","21510A"
"357","F_PC_243C2","F","PC","243C2"
"358","F_PC_182A1","F","PC","182A1"
"359","M_VC_2800A","M","VC","2800A"
"360","M_PC_290011290018G","M","PC","290011290018G"
"361","F_PC_25850C2","F","PC","25850C2"
"362","M_PC_485","M","PC","485"
"363","F_PC_273AA","F","PC","273AA"
"364","F_PC_496","F","PC","496"
"365","M_PC_25850C6","M","PC","25850C6"
"366","F_PC_203","F","PC","203"
"367","F_PC_496D","F","PC","496D"
"368","M_PC_4595","M","PC","4595"
"369","M_PC_2735A","M","PC","2735A"
"370","I_VC_16028A","I","VC","16028A"
"371","F_VC_10851E","F","VC","10851E"
"372","F_PC_496A","F","PC","496A"
"373","F_PC_594B1","F","PC","594B1"
"374","M_PC_21810","M","PC","21810"
"375","F_VC_4463","F","VC","4463"
"376","M_PC_415A","M","PC","415A"
"377","F_VC_4463A1","F","VC","4463A1"
"378","F_HS_11359","F","HS","11359"
"379","M_VC_23152A","M","VC","23152A"
"380","M_PC_417A2","M","PC","417A2"
"381","M_PC_240242","M","PC","240242"
"382","F_PC_488666","F","PC","488666"
"383","F_PC_32310","F","PC","32310"
"384","F_PC_290018B","F","PC","290018B"
"385","M_PC_417A2","M","PC","417A2"
"386","M_PC_487A","M","PC","487A"
"387","M_PC_5305A","M","PC","5305A"
"388","F_VC_20001A","F","VC","20001A"
"389","F_PC_484IB","F","PC","484IB"
"390","M_PC_417A2A","M","PC","417A2A"
"391","F_PC_67","F","PC","67"
"392","F_PC_236","F","PC","236"
"393","M_PC_4226A","M","PC","4226A"
"394","F_PC_21810","F","PC","21810"
"395","F_PC_529A3","F","PC","529A3"
"396","F_PC_29815A","F","PC","29815A"
"397","M_VC_146011A","M","VC","146011A"
"398","M_HS_11358C","M","HS","11358C"
"399","F_PC_211","F","PC","211"
"400","F_PC_454A2","F","PC","454A2"
"401","F_VC_20001A","F","VC","20001A"
"402","M_PC_368C","M","PC","368C"
"403","F_HS_12305","F","HS","12305"
"404","F_PC_114","F","PC","114"
"405","M_PC_6476A1","M","PC","6476A1"
"406","M_PC_664243B","M","PC","664243B"
"407","M_PC_2736B","M","PC","2736B"
"408","M_PC_602M","M","PC","602M"
"409","M_PC_290012A290018A","M","PC","290012A290018A"
"410","F_PC_45735","F","PC","45735"
"411","M_VC_4462B","M","VC","4462B"
"412","F_PC_273DA","F","PC","273DA"
"413","F_PC_300008C","F","PC","300008C"
"414","F_PC_33600","F","PC","33600"
"415","I_VC_12500A","I","VC","12500A"
"416","M_PC_273AB","M","PC","273AB"
"417","M_HS_11375B2","M","HS","11375B2"
"418","F_PC_3141","F","PC","3141"
"419","F_PC_3455B1","F","PC","3455B1"
"420","M_PC_2434E1","M","PC","2434E1"
"421","M_PC_484GA","M","PC","484GA"
"422","F_PC_484","F","PC","484"
"423","M_HS_113641","M","HS","113641"
"424","F_PC_484EA","F","PC","484EA"
"425","F_PC_32625B","F","PC","32625B"
"426","F_PC_25850C4","F","PC","25850C4"
"427","F_PC_33215","F","PC","33215"
"428","M_PC_484A4905","M","PC","484A4905"
"429","F_HS_11361A","F","HS","11361A"
"430","F_PC_12032","F","PC","12032"
"431","F_VC_28002","F","VC","28002"
"432","F_VC_10851","F","VC","10851"
"433","F_PC_148B","F","PC","148B"
"434","M_PC_368C","M","PC","368C"
"435","F_PC_5944A","F","PC","5944A"
"436","F_VC_20001A","F","VC","20001A"
"437","M_HN_655C","M","HN","655C"
"438","F_PC_508","F","PC","508"
"439","F_PC_118A","F","PC","118A"
"440","F_PC_33210","F","PC","33210"
"441","M_PC_25100A","M","PC","25100A"
"442","M_PC_4902","M","PC","4902"
"443","F_PC_290012A290018B","F","PC","290012A290018B"
"444","M_PC_369IA","M","PC","369IA"
"445","M_PC_22210","M","PC","22210"
"446","F_PC_3141","F","PC","3141"
"447","M_PC_69","M","PC","69"
"448","F_PC_368D","F","PC","368D"
"449","F_PC_148D","F","PC","148D"
"450","F_HS_12700B3","F","HS","12700B3"
"451","M_PC_498B","M","PC","498B"
"452","M_PC_25400C6","M","PC","25400C6"
"453","F_PC_69A","F","PC","69A"
"454","M_VC_23152G","M","VC","23152G"
"455","F_PC_31360A","F","PC","31360A"
"456","M_PC_594B1","M","PC","594B1"
"457","F_PC_236","F","PC","236"
"458","F_PC_664487A","F","PC","664487A"
"459","M_PC_1664","M","PC","1664"
"460","F_PC_4502A","F","PC","4502A"
"461","F_PC_134","F","PC","134"
"462","F_PC_472","F","PC","472"
"463","M_PC_594A1","M","PC","594A1"
"464","M_VC_23103B","M","VC","23103B"
"465","M_VC_146015A","M","VC","146015A"
"466","M_PC_1715C12","M","PC","1715C12"
"467","M_HS_11359B","M","HS","11359B"
"468","M_PC_62610I","M","PC","62610I"
"469","F_PC_18610A","F","PC","18610A"
"470","M_PC_647B1","M","PC","647B1"
"471","M_PC_653XA","M","PC","653XA"
"472","M_VC_28002A","M","VC","28002A"
"473","F_VC_28002","F","VC","28002"
"474","F_PC_451D","F","PC","451D"
"475","M_VC_10852","M","VC","10852"
"476","M_VC_23152F","M","VC","23152F"
"477","M_PC_647A","M","PC","647A"
"478","F_PC_550B2","F","PC","550B2"
"479","F_PC_460A","F","PC","460A"
"480","F_PC_6469A","F","PC","6469A"
"481","F_PC_532A","F","PC","532A"
"482","M_PC_27365B","M","PC","27365B"
"483","M_PC_29001","M","PC","29001"
"484","M_PC_290B","M","PC","290B"
"485","M_PC_1485C","M","PC","1485C"
"486","F_PC_5305","F","PC","5305"
"487","M_PC_594B1","M","PC","594B1"
"488","F_PC_289A1","F","PC","289A1"
"489","F_PC_664459","F","PC","664459"
"490","F_PC_463A","F","PC","463A"
"491","F_HS_113835B1","F","HS","113835B1"
"492","M_VC_12500A","M","VC","12500A"
"493","F_PC_6269B","F","PC","6269B"
"494","F_PC_524","F","PC","524"
"495","F_PC_4173","F","PC","4173"
"496","F_VC_23152B","F","VC","23152B"
"497","F_PC_22910A","F","PC","22910A"
"498","F_PC_273D","F","PC","273D"
"499","F_VC_23153A","F","VC","23153A"
"500","M_VC_12500A","M","VC","12500A"
"501","F_PC_290013","F","PC","290013"
"502","F_PC_290015","F","PC","290015"
"503","F_HN_655F","F","HN","655F"
"504","F_PC_451B","F","PC","451B"
"505","M_PC_417A2","M","PC","417A2"
"506","F_VC_10803A","F","VC","10803A"
"507","F_HS_11550E","F","HS","11550E"
"508","F_PC_597B","F","PC","597B"
"509","M_PC_148D","M","PC","148D"
"510","F_HS_11368","F","HS","11368"
"511","F_PC_664532A","F","PC","664532A"
"512","F_PC_4532B1","F","PC","4532B1"
"513","M_PC_409","M","PC","409"
"514","M_PC_22810G1","M","PC","22810G1"
"515","M_VC_20002","M","VC","20002"
"516","F_PC_215A","F","PC","215A"
"517","F_PC_484A","F","PC","484A"
"518","F_HS_11352A","F","HS","11352A"
"519","F_PC_594A","F","PC","594A"
"520","M_PC_243E1","M","PC","243E1"
"521","M_PC_594B4","M","PC","594B4"
"522","F_PC_399B","F","PC","399B"
"523","M_HS_120275","M","HS","120275"
"524","F_PC_12032","F","PC","12032"
"525","F_HS_11350","F","HS","11350"
"526","M_VC_10853","M","VC","10853"
"527","F_PC_29825A","F","PC","29825A"
"528","M_PC_472","M","PC","472"
"529","F_PC_1481C","F","PC","1481C"
"530","M_PC_17500","M","PC","17500"
"531","F_PC_25400C6B","F","PC","25400C6B"
"532","M_PC_243D","M","PC","243D"
"533","M_PC_587C","M","PC","587C"
"534","F_PC_290018G","F","PC","290018G"
"535","F_PC_484FA","F","PC","484FA"
"536","M_PC_236","M","PC","236"
"537","M_VC_20001A","M","VC","20001A"
"538","F_PC_12020A","F","PC","12020A"
"539","M_PC_594A2","M","PC","594A2"
"540","M_VC_23152B","M","VC","23152B"
"541","M_PC_290011","M","PC","290011"
"542","M_PC_273AA","M","PC","273AA"
"543","M_PC_1489","M","PC","1489"
"544","M_PC_1489B","M","PC","1489B"
